CellID,Label,Immune,Stroma,Tumor,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,Neighbor_1,Neighbor_2,Neighbor_3,Neighbor_4,Neighbor_5,X_position,Y_position,Group,x_umap,y_umap
13,Tumor,0.08230000713135611,0.02367758320431369,0.8940224096643302,55,0.801935448759045,0.9482758620689659,0.7638888888888891,1,27.125999999999998,11.205904203838001,6.694526995289481,82.316487809938,11,12,14,15,16,3.2545454545454504,1481.1272727272699,2,5.5351706,-5.865154
17,Tumor,0.2071815535096607,0.006060774278166307,0.7867576722121729,69,0.847364802647759,0.8214285714285708,0.575,1,37.547,13.5725387974084,7.20717007179062,-52.758938556616705,12,13,14,15,16,5.7971014492753605,1563.05797101449,2,4.920979,-4.6504283
18,Tumor,0.09730165017185577,0.013399252113707526,0.8892990977144367,69,0.77154686391951,0.841463414634146,0.5390625,1,37.315,13.674028980327,8.6990410619866,-86.25617848856791,13,14,15,16,17,3.40579710144928,1571.8115942029,2,5.2220235,-4.0235515
44,Tumor,0.10924509439358324,0.020773381116669168,0.8699815244897475,69,0.9322519030629559,0.92,0.766666666666667,1,33.469,16.135340317477,5.83792554335397,88.1077369172352,43,45,144,164,208,2.8985507246376803,2430.97101449275,2,4.7676206,-4.7451825
61,Tumor,0.08969292571053153,0.04538307405983931,0.8649240002296291,154,0.658781503923606,0.832432432432432,0.6875,1,57.701,17.006725456169697,12.7947432432295,15.390485913050599,59,60,62,63,186,8.02597402597403,2917.7857142857106,2,1.2400036,-0.09676064
62,Tumor,0.4930082694348111,0.013983460366650763,0.4930082701985382,46,0.9351583396763209,0.938775510204082,0.766666666666667,1,26.919,13.4575678785809,4.767074019531361,-82.3940327227519,59,60,61,63,186,2.52173913043478,2938.2608695652198,2,5.070586,-6.154552
64,Tumor,0.2687392834103771,0.022854328850826264,0.7084063877387967,37,0.8511463165028299,0.86046511627907,0.578125,1,26.415,10.1447489032234,5.325267996563831,-38.62453948978621,65,66,67,68,153,4.7027027027027,3074.18918918919,2,5.214909,-6.4617248
65,Tumor,0.0875584740375762,0.040322434242075135,0.8721190917203487,30,0.778011617454086,0.857142857142857,0.625,1,20.576,8.54923989694887,5.3710590168229695,-81.35045712378779,64,66,67,68,69,2.53333333333333,3092.6666666666697,2,5.5500164,-7.148336
66,Tumor,0.1493725005869658,0.017510107434881284,0.8331173919781528,21,0.9491429708199459,0.75,0.38888888888888895,1,20.137999999999998,10.4234998724873,3.28179090468043,-55.8099972455871,64,65,67,68,69,2.9523809523809503,3117.7142857142894,2,5.030506,-6.7123857
67,Tumor,0.1498940056495407,0.01592729904346839,0.8341786953069911,73,0.8920349381739691,0.848837209302326,0.506944444444444,1,42.294,16.131516891747598,7.29090437184163,86.17204462722592,64,65,66,68,69,3.06849315068493,3127.98630136986,2,4.4808774,-4.3120527
69,Tumor,0.239318192218258,0.05244926270850472,0.7082325450732373,29,0.9163929819745308,0.878787878787879,0.725,1,20.576,10.091197756967,4.03930242201521,2.48873520933584,65,66,67,68,166,4.93103448275862,3167.13793103448,2,5.2602906,-7.121973
78,Tumor,0.49384971456130294,0.011882390321933757,0.4942678951167631,34,0.944079429730962,0.9189189189189191,0.653846153846154,1,25.53,12.5490021045138,4.1376332238763,-86.03802420939822,74,75,76,77,79,2.02941176470588,3676.4411764705897,2,5.094135,-6.296244
80,Tumor,0.4974749302600573,0.004988682665003801,0.4975363870749389,22,0.970025648243792,0.88,0.666666666666667,1,20.758000000000003,11.567483417543098,2.8109280256849902,-87.665652828452,76,77,78,79,81,1.59090909090909,3709.2272727272707,2,5.1677613,-6.823496
81,Tumor,0.09147642334560023,0.0004934920306440785,0.9080300846237558,38,0.894067304603917,0.9047619047619051,0.76,1,23.09,10.867627066939399,4.86796494159679,82.057783921089,77,78,79,80,82,2.55263157894737,3749.84210526316,2,5.2734423,-6.5392447
84,Tumor,0.4972210662211953,0.005557855354220809,0.4972210784245839,116,0.7480807728913801,0.865671641791045,0.6823529411764712,1,48.571000000000005,15.6900497780541,10.4120375828401,-80.326971659804,81,82,83,85,138,4.64655172413793,3818.47413793103,2,3.369332,-1.1946839
85,Tumor,0.47113351027145,0.007208174253108944,0.5216583154754411,92,0.9768472386446221,0.92,0.766666666666667,1,49.745,24.5724977746377,5.25699128782214,88.9730252565375,83,84,86,87,138,2.58695652173913,3875.3586956521704,2,4.189645,-4.024227
