CellID,Pred,Label,Immune,Stroma,Tumor,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,Neighbor_1,Neighbor_2,Neighbor_3,Neighbor_4,Neighbor_5,X_position,Y_position,maxprob
1003,Tumor,Immune,0.969685437918954,0.0303142126439567,3.49437089909316e-07,453,0.839190326592357,0.978401727861771,0.722488038277512,1,79.03,32.7476544044491,17.8094136224707,13.4666418310243,957,994,1010,1017,1040,1596.35099337748,4957.20529801324,0.96968544
10056,Tumor,Immune,0.964605465269073,0.0353893713299913,5.16340093590875e-06,413,0.891299783320401,0.888172043010753,0.658692185007974,1,85.447,35.8002786895308,16.2323649661327,74.9276940436495,9987,9998,10024,10033,10084,6376.77481840194,2041.56900726392,0.96460547
10098,Tumor,Immune,0.957346353274854,0.0426535102869146,1.36438231422697e-07,393,0.580856735246162,0.965601965601966,0.714545454545455,1,70.338,25.0573451067268,20.3968244139423,-60.0402500860097,9973,10015,10018,10057,10074,6418.3358778626,185.391857506361,0.95734635
1013,Tumor,Immune,0.954415055723998,0.0455849156867887,2.8589212863778e-08,662,0.447104415239585,0.979289940828402,0.788095238095238,1,89.31,30.7536023574499,27.5085367567097,64.1006613724909,986,0,0,0,0,1605.3836858006,2089.32930513595,0.95441506
1015,Tumor,Immune,0.970407104125929,0.0295928577717462,3.81023248144599e-08,583,0.581819909792596,0.929824561403509,0.654320987654321,1,89.914,31.0073895979605,25.218857102578,-8.93695223107006,973,1043,1055,1078,0,1610.1217838765,3685.83190394511,0.9704071
1017,Tumor,Immune,0.970405753658274,0.0295942022684457,4.4073280648122e-08,335,0.710792598018354,0.965417867435158,0.759637188208617,1,66.658,24.7891516095831,17.4367301685907,51.0809214922406,927,994,1003,1010,1026,1604.89552238806,5040.79402985075,0.97040575
1019,Stroma,Immune,0.970293177466622,0.0297067705398704,5.19935072425997e-08,765,0.932523105139071,0.715622076707203,0.527586206896552,1,151.162,56.4836554218107,20.396830506494,6.25515480265732,946,1016,1025,1042,1098,1620.66405228758,3161.17908496732,0.97029318
102,Tumor,Immune,0.970403176532023,0.0295968142093784,9.25859875224674e-09,650,0.837928720246345,0.811485642946317,0.555555555555556,1,121.283,41.7299841446482,22.7753774190746,59.3588108583121,76,98,0,0,0,244.995384615385,2830.75076923077,0.97040318
1022,Tumor,Immune,0.970381191616439,0.029613104435233,5.70394832780756e-06,490,0.245358979878513,0.964566929133858,0.753846153846154,1,77.351,25.4501312331041,24.6721790821572,-26.8059736574411,915,972,997,1023,1030,1613.91428571429,3347.99183673469,0.97038119
10241,Tumor,Immune,0.961973631549334,0.0380262131804139,1.55270251680062e-07,340,0.571658432932979,0.96045197740113,0.708333333333333,1,64.458,23.0393647284579,18.9036076212519,73.776255067586,10127,10129,10148,10157,10198,6507.77647058823,4939.31764705882,0.96197363
10243,Tumor,Immune,0.959973103359169,0.040026806087358,9.05534734298618e-08,311,0.705640297607641,0.96583850931677,0.785353535353535,1,61.497,23.7059166693886,16.797306819261,65.489926440143,10127,10129,10148,10157,10198,6508.25080385852,4967.27009646302,0.9599731
1025,Tumor,Immune,0.970344439272633,0.0296555349000715,2.58272954822993e-08,631,0.164374552666188,0.967791411042945,0.777093596059113,1,88.855,28.6246789110178,28.2353259128538,76.1107031067846,944,988,1016,1019,1042,1617.20443740095,3079.66244057052,0.97034444
1026,Tumor,Immune,0.970383595004747,0.0296155813029653,8.23692287819768e-07,651,0.753277100527028,0.939393939393939,0.715384615384615,1,95.686,36.0713167224785,23.7242234675986,-7.99896046746075,927,968,1010,1017,0,1618.74961597542,5085.99078341014,0.9703836
10262,Tumor,Immune,0.959704720266302,0.0402951890635139,9.067018358499e-08,327,0.604343964834658,0.967455621301775,0.741496598639456,1,62.754,23.0290435159315,18.3477806822928,45.7562969708124,10148,10198,10201,10211,10241,6519.25382262997,4871.91131498471,0.95970472
1028,Stroma,Immune,0.968346649546083,0.0316533496581527,7.95764558630177e-10,373,0.874558775652305,0.973890339425587,0.605519480519481,1,72.878,31.4537819063297,15.2525530529289,-34.9312839100114,977,992,999,1008,1037,1619.50938337802,1683.11528150134,0.96834665
10287,Tumor,Immune,0.957270113020081,0.0427297557817027,1.31198215742905e-07,332,0.680129789590204,0.954022988505747,0.691666666666667,1,65.773,24.2198461905134,17.7553686916876,72.429016334924,10129,10148,10157,10198,10201,6532.00903614458,4950.15361445783,0.95727011
1029,Tumor,Immune,0.959499076630825,0.0405009172821751,6.08699992307141e-09,698,0.744397560089727,0.980337078651685,0.705050505050505,1,94.132,36.5439530849098,24.4017378718317,40.6314804495948,932,950,970,981,983,1622.69627507163,5741.85243553009,0.95949908
